Player,Apps,Mins,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG,Rating
Mohamed Touré,2(1),170,-,0.3,0.3,-,0.3,-,-,-,7.78
Divine Mukasa,2(1),167,1.3,-,1.3,-,0.3,0.3,-,-,7.67
Eiran Cashin,7,630,4.6,1.9,1.4,-,6.1,1.1,1,1,7.58
Jonathan Panzo,1,90,2,2,1,1,14,-,1,-,7.53
Bilal El Khannouss,2,136,1,1.5,-,-,-,1,-,-,7.52
Ebou Adams,7(1),658,3.1,1,1.4,-,2.8,1,0.5,-,7.34
Lloyd Jones,33,2920,0.9,1.4,1.4,0.4,10.2,0.2,1.3,-,7.3
Femi Azeez,20(2),1685,1.4,0.4,1.5,-,0.7,0.5,0.2,-,7.26
Kai Wagner,8,701,2.3,1.1,0.9,-,2.9,0.3,0.1,-,7.26
Lyndon Dykes,7(1),667,0.9,0.3,1.3,-,2.4,0.1,0.4,-,7.24
Imrân Louza,29,2510,1.4,1,1.2,-,0.7,0.9,0.3,-,7.22
Caleb Taylor,18(4),1703,1.1,1.8,0.5,0.3,5.5,0.5,0.6,-,7.21
Léo Scienza,23(4),1795,0.6,0.1,0.4,-,0.4,0.4,-,-,7.21
Christoph Klarer,30,2700,1,1.5,0.9,0.8,7.5,0.3,0.4,-,7.2
Oliver McBurnie,19(4),1723,0.9,0.3,1.3,-,2,0.4,0.3,-,7.19
Torbjørn Heggem,1,90,-,2,-,-,12,1,-,-,7.19
Carlton Morris,16(2),1379,0.7,-,1.1,-,1.6,0.1,0.2,-,7.19
Adilson Malanda,8,715,1,1,0.5,0.4,5.5,0.1,1.3,-,7.19
Bobby Thomas,26,2302,1,0.9,0.9,1.2,5.9,0.5,0.8,1,7.18
Charlie Hughes,28(1),2565,1.3,1,1,0.6,7.8,0.2,1.8,-,7.17
Finn Azaz,1(1),93,0.5,1,-,-,0.5,-,-,-,7.17
Rob Atkinson,22(2),1807,1.5,1.1,0.2,0.5,5.3,0.3,0.5,-,7.16
Anis Ben Slimane,7(2),580,1.9,0.7,0.8,-,0.2,0.4,0.1,-,7.16
Jimmy Dunne,31,2762,1.4,0.8,0.8,0.3,6.4,0.5,0.7,-,7.15
Tristan Crama,33,2937,1.9,1.5,1.3,0.3,5.7,0.6,0.6,-,7.14
Frank Onyeka,2,161,2,1.5,2,-,2.5,0.5,1.5,-,7.14
Kieffer Moore,27(3),2341,0.5,0.2,1.5,-,1.7,0.4,0.1,-,7.13
Ciaron Brown,24,2151,0.9,1.5,0.5,0.6,8.8,0.2,1,-,7.13
Jannik Vestergaard,24,2133,1.5,0.9,0.5,0.7,8.5,0.3,0.5,-,7.13
Taylor Harwood-Bellis,28,2520,0.9,0.9,0.9,0.4,7.8,0.3,0.8,1,7.13
Victor Torp,22(5),1926,1,0.8,0.9,-,1,0.6,0.3,-,7.12
Joe Gelhardt,22(3),1864,1.2,0.5,0.7,-,0.6,0.8,-,-,7.12
Jake Cooper,32,2880,0.9,0.8,1.2,0.4,7.6,0.3,0.7,1,7.11
Sean McLoughlin,31,2741,1.5,1.8,0.6,0.5,7.3,0.5,0.9,-,7.1
Sam McCallum,15(5),1210,1.3,1.4,0.3,0.1,2.7,0.4,0.5,-,7.1
Liam Kitching,29,2573,1.1,0.9,1,1.2,6.6,0.2,0.7,-,7.1
Jordan Storey,32,2818,1.3,1.6,0.7,0.9,6.8,0.3,0.6,-,7.09
Anis Mehmeti,28,2348,1.4,0.2,1.2,-,0.5,1,0.1,-,7.09
Abdul Fatawu,32,2715,1,0.6,1.2,-,1.4,0.5,0.1,-,7.09
Rob Dickie,29(1),2581,1,1.4,0.5,0.5,8,0.4,1,-,7.08
Hayden Hackney,33,2892,1.8,0.6,1.5,-,0.8,1,0.1,-,7.08
Josh Vickers,3,270,-,-,-,-,0.3,-,-,-,7.06
Brandon Thomas-Asante,16(5),1369,0.6,0.7,0.8,-,0.5,0.5,0.1,-,7.06
Cameron Burgess,33,2970,1.1,1.4,0.3,0.5,8.5,0.2,0.9,3,7.05
Stephen Mfuni,4,316,3.3,0.8,0.8,-,5,-,-,-,7.04
Callum Elder,25(2),2149,1.9,0.9,1,0.1,3.5,0.5,0.3,-,7.04
Matt Clarke,32,2875,1.8,1.4,1,0.3,8.4,0.5,1.1,1,7.03
Matt Grimes,33,2959,1.8,0.8,0.5,0.1,1.4,0.7,0.4,-,7.03
Jeremy Ngakia,26(2),2297,3.6,1.1,0.9,0.3,3,0.9,0.2,-,7.03
Jacob Greaves,12(1),1002,0.9,0.8,0.6,-,5.7,0.2,0.3,-,7.01
Conor Shaughnessy,8(1),680,0.6,0.9,0.4,0.6,6.7,0.1,0.8,-,7
Benjamin Whiteman,32,2832,1.8,1.2,1.2,0.1,3.3,0.7,1,1,7
Ross McCrorie,25(4),2105,1.9,0.8,1.6,0.1,2.3,0.7,0.1,-,7
Todd Cantwell,18(2),1661,1.7,1,1,-,0.4,1.2,-,-,6.99
Michal Helik,30(1),2659,1.2,1.6,0.9,0.6,7.9,0.3,1.1,-,6.99
Nicolas Madsen,31(2),2764,1.7,1,0.3,-,1.7,0.4,0.5,-,6.98
Viktor Johansson,24,2160,0.1,-,-,-,1.7,-,-,-,6.97
Dael Fry,12(6),1109,0.7,0.5,0.3,0.7,5.1,0.1,1.2,-,6.97
Tayo Adaramola,3,248,3.3,-,0.3,0.3,3.3,0.3,-,-,6.97
Ilias Chair,9(2),808,1.1,0.3,0.4,0.1,0.5,1.4,-,-,6.97
Callum Brittain,28,2452,1.6,1.2,0.9,0.1,2.8,0.6,0.1,-,6.97
Ali Ahmed,6(1),451,1,1,0.7,-,0.9,1.1,0.1,-,6.96
Ryan Manning,23(7),2171,1.2,0.9,0.7,0.1,2,0.2,0.3,-,6.96
Matt Crooks,18(2),1641,2.1,0.8,2.2,-,1.7,0.9,0.3,-,6.96
Jaden Philogene,19(6),1551,1.1,0.8,0.7,-,0.5,0.9,-,-,6.96
Nathaniel Phillips,31,2658,1.4,1.3,0.7,0.5,6.9,0.5,0.8,1,6.96
Joe Ward,20(5),1805,1.4,0.8,0.2,-,2.3,0.6,0.3,-,6.95
Sondre Langås,18(1),1658,1.4,1.2,0.5,0.3,5.9,0.4,0.5,-,6.95
Lewis Baker,11(1),998,0.9,0.6,1.1,0.1,1.2,0.9,0.1,-,6.95
Japhet Tanganga,27,2387,1.1,1.4,1.2,0.5,6.4,0.3,0.9,1,6.95
Ben Cabango,32,2865,1.8,1.1,0.6,0.7,6.8,0.7,0.6,-,6.94
Othmane Maamma,18(2),1360,1.8,0.7,0.7,0.1,0.4,0.6,0.1,-,6.94
Brian De Keersmaecker,25(1),2248,2,1.2,0.7,-,1.8,0.7,0.4,-,6.94
Cédric Kipré,22,1946,1.1,1,0.5,0.7,5.4,0.3,0.6,1,6.94
Morgan Whittaker,29(3),2292,1.3,0.2,0.8,-,0.1,0.7,-,-,6.93
Ephron Mason-Clark,25(4),2086,1.1,0.1,1.8,-,0.3,0.5,-,-,6.93
Haji Wright,23(6),1958,0.3,-,0.9,-,0.8,0.1,0.1,-,6.92
Hayden Carter,5,398,0.8,1,1,0.2,6.8,0.4,0.6,-,6.91
Scott Wharton,7(2),672,0.9,1.4,0.7,0.8,5.6,0.2,0.7,-,6.91
Milan van Ewijk,31,2728,2.2,1.3,0.9,0.5,2.5,0.7,0.2,-,6.91
Murphy Cooper,7,630,0.3,0.1,-,-,1.1,-,-,-,6.9
Ben Gibson,2(2),249,1.3,1.5,0.5,0.8,3.3,-,1.3,-,6.9
Femi Seriki,20(7),1859,2.2,0.7,0.7,0.3,1.6,0.6,0.1,-,6.9
Dara O'Shea,31,2790,0.5,0.8,0.4,0.5,5.9,0.3,1,-,6.9
Mattie Pollock,22(2),1974,0.9,0.9,0.7,0.4,6.6,0.3,0.7,-,6.89
Josh Tymon,31(1),2821,1.1,1.3,0.4,0.2,2.1,0.4,0.1,-,6.89
Ruairi McConville,19(1),1719,1.2,0.8,0.5,0.8,6,0.3,0.7,-,6.89
Ben Mee,14(1),1249,0.5,0.9,0.3,0.5,7.3,0.1,0.4,-,6.88
Kenny McLean,29(1),2541,1.9,0.8,0.6,-,1.7,0.9,0.4,-,6.88
Tyler Bindon,15(1),1342,1.2,1.3,1.1,0.8,7.1,0.4,0.5,1,6.88
Lewis Gibson,19,1654,1.1,1.2,0.5,0.9,6.2,0.5,0.9,-,6.88
James Bree,19(2),1676,1.3,0.7,1,-,1.8,0.4,0.2,-,6.88
Matt Targett,28(2),2417,1.3,1.1,0.6,0.3,2,0.5,0.2,-,6.88
Marcelino Núñez,15(9),1433,0.9,0.3,0.9,-,0.4,0.5,-,-,6.87
Jayden Fevrier,0(2),70,1,-,-,-,-,-,-,-,6.87
Luke Ayling,26(4),2400,1.9,1,0.6,0.5,2.3,0.5,0.6,-,6.87
Neto Borges,19(7),1693,1.7,1.4,0.8,0.2,2.4,0.5,0.3,-,6.87
Phil Neumann,26,2277,1.1,0.8,1,0.7,6.5,0.2,0.8,1,6.87
Jordan James,23(1),1763,1.1,0.3,1,-,1,0.4,-,-,6.86
Scott Twine,30(2),2379,1.2,0.7,0.9,-,0.6,0.4,0.1,-,6.86
Tatsuhiro Sakamoto,22(5),1946,1.1,0.3,0.5,-,0.6,0.4,-,-,6.86
Jack Currie,19(5),1707,2.7,1.7,1,0.4,2.9,0.8,0.2,-,6.86
Max Cleworth,31,2790,1.7,0.9,0.7,0.2,5.5,0.5,0.7,1,6.86
Alfie Doughty,16(5),1328,1.2,0.8,1,-,1.3,0.5,0.1,-,6.86
Leif Davis,28(1),2509,0.7,0.8,0.6,0.2,2.6,0.4,0.1,-,6.86
Josh Edwards,7,553,1.7,0.3,1,-,3.7,0.7,0.1,-,6.86
Gustavo Caballero,2(1),160,1.7,0.3,1.7,-,0.7,0.3,-,-,6.86
Ibrahim Osman,4(1),339,1.4,0.2,1,-,0.4,0.2,-,-,6.86
Sydie Peck,25(2),2275,1.9,1,1,-,2.2,0.3,0.3,-,6.86
Dominic Hyam,4,360,0.8,0.5,0.5,-,9,0.8,0.8,-,6.86
Azor Matusiwa,30,2620,2.3,2,1.2,-,1.9,0.3,0.6,-,6.85
Zan Vipotnik,24(7),2072,0.2,0.2,0.5,-,0.9,0.1,0.1,-,6.85
Andrew Hughes,25(1),2219,1.5,1.2,1.2,0.5,4.3,0.4,0.5,1,6.85
Shea Charles,13(5),1266,2,0.8,1.3,-,1.2,0.5,0.2,-,6.85
David Cornell,4,360,-,-,-,-,1.5,-,-,-,6.85
Josh Sargent,23,1953,0.3,0.3,0.5,-,1.3,0.1,0.2,-,6.85
Sorba Thomas,33,2896,0.6,0.4,0.8,0.1,0.8,0.5,-,-,6.85
Terry Devlin,18(9),1646,1.8,1.1,0.6,0.1,2.9,0.6,0.3,-,6.85
Daniel Grimshaw,1,90,-,-,-,-,-,-,-,-,6.85
Lewis Miller,23(6),2154,1.9,1.4,0.9,0.4,3.5,0.3,0.8,-,6.85
Regan Poole,29,2610,1,1.6,0.9,0.6,7.1,0.4,0.8,-,6.85
Finn Azaz,25(4),2029,1.3,0.1,0.8,-,0.7,0.7,0.1,-,6.85
Maksym Talovierov,9(2),827,2.6,1.4,0.9,0.5,4.4,0.7,0.9,-,6.84
Ben Killip,1(1),154,-,-,-,-,0.5,0.5,-,-,6.83
Demarai Gray,22(3),1740,1,0.2,0.6,-,0.7,0.5,0.1,-,6.83
Jack Clarke,15(16),1554,0.9,0.4,0.8,-,0.3,0.5,-,-,6.83
Dominic Hyam,28,2512,0.9,1.3,0.8,0.5,7.8,0.5,0.6,-,6.83
Mikey Johnston,25(7),2201,0.7,0.2,0.6,-,0.3,0.3,-,-,6.83
Darnell Furlong,25,2207,1.2,1.3,1.5,0.2,3.6,0.5,0.2,-,6.82
Tommy Conway,32(1),2588,1.3,0.1,1,-,0.5,0.5,0.1,-,6.82
Patrick Agyemang,26(3),2194,0.2,-,1.7,-,0.7,0.1,-,-,6.82
Harry Amass,21,1868,3.1,1.2,1,-,2.7,0.8,0.3,1,6.82
Ben Wilmot,30(1),2703,0.8,0.5,0.4,0.6,4.7,0.2,0.6,-,6.82
Keenan Gough,1(1),91,2,1.5,1,-,2,-,0.5,-,6.82
Lawrence Vigouroux,33,2970,-,-,-,-,0.7,-,-,-,6.81
Lewis O'Brien,20(6),1817,1.5,0.5,0.8,-,0.8,0.6,0.3,-,6.81
Patrick Bamford,11(5),895,0.6,0.2,1.4,-,0.7,0.6,-,-,6.81
Ryan Hedges,18(4),1542,1.9,1,1.1,-,1.3,0.2,0.2,-,6.81
Jack Rudoni,19(4),1649,0.7,0.3,0.5,-,0.7,0.3,0.2,-,6.81
Callum Doyle,19(2),1706,1.7,1.3,0.7,0.1,4.7,0.8,0.5,-,6.81
Ashley Phillips,24(4),2265,0.4,0.9,0.6,0.4,6.1,0.1,0.8,-,6.81
George Thomason,16(5),1402,1.2,0.5,0.6,-,1.8,0.6,0.3,-,6.81
José Córdoba,13(3),1254,1.4,1,0.8,0.9,5.1,0.3,0.9,-,6.81
Marc Bola,26(2),2341,1,1.4,0.4,0.3,4.5,0.3,0.3,-,6.8
Gonçalo Franco,28(4),2376,2.7,0.9,1.4,-,1.2,1.2,0.5,-,6.8
Riley McGree,9(6),736,0.9,0.4,0.5,0.1,0.3,0.3,-,-,6.8
Gustavo Hamer,18(8),1668,0.8,0.4,1.2,-,0.5,0.7,-,-,6.8
Danny Ward,4,360,-,-,-,-,0.5,-,-,-,6.8
Junior Tchamadeu,19(1),1723,2.3,1.2,1,0.5,1.9,0.5,0.2,-,6.79
Adam Armstrong,24(5),2041,0.7,0.3,0.9,-,0.4,-,-,-,6.79
Sondre Tronstad,27(1),2342,2.4,1.1,0.9,0.1,1.3,1.2,0.3,-,6.79
Patrick Roberts,23(5),1876,1.3,0.2,0.5,-,0.6,0.6,-,-,6.79
Andre Brooks,20(9),1737,1.6,0.3,0.7,-,0.8,0.9,0.1,-,6.78
Steve Cook,21(6),1987,0.6,0.8,0.3,0.6,6.7,0.1,0.7,-,6.78
Richard Kone,27(4),2379,1,0.2,1.7,-,1.1,0.4,-,-,6.78
Aidan Morris,24(3),2034,2,0.6,1.2,-,0.5,1.1,0.1,-,6.78
Jack Robinson,2(1),213,0.7,0.3,0.7,0.7,6.3,-,0.7,-,6.78
Jack Stephens,21(1),1896,1.1,1.1,0.5,0.3,4.2,0.5,0.8,-,6.78
Max Alleyne,14(2),1266,1.7,0.8,0.3,0.4,4.8,0.5,0.4,1,6.78
Millenic Alli,8,697,0.8,0.4,1.1,-,1,0.9,-,-,6.78
Romain Esse,4(3),378,1.1,0.3,0.9,-,0.1,0.4,0.1,-,6.77
Pelle Mattsson,21(1),1872,2.5,1.5,1.8,-,2,0.9,0.2,-,6.77
Alex Cochrane,18(1),1531,1.1,1,0.5,0.2,3,0.6,0.1,-,6.77
Caleb Okoli,19(2),1629,1.5,1.2,1,0.3,6.4,0.2,1,-,6.77
Alfie Devine,26(6),2212,1.3,0.4,0.5,-,1.1,0.5,0.1,-,6.77
John Egan,27(2),2357,1.2,1,0.5,0.4,6.1,0.3,0.9,-,6.77
Mark McGuinness,15(4),1314,0.4,0.9,0.6,0.3,6.7,-,0.4,-,6.76
Mohamed Belloumi,5(7),519,1,0.9,0.3,-,0.3,0.7,-,-,6.76
Issa Kaboré,16(1),1353,1.7,1.1,0.9,0.1,1.4,0.5,0.1,-,6.76
Jay Dasilva,29(1),2506,1.7,1,0.6,0.2,1.9,0.4,0.2,-,6.76
Ethan Laird,4(4),384,1.1,1.1,0.1,0.4,2.8,0.3,0.1,-,6.76
Joel Latibeaudiere,7,630,0.4,1,0.3,0.7,7,0.3,0.7,-,6.76
Sonny Carey,29(4),2410,1,0.4,0.6,-,0.9,0.8,0.2,-,6.76
Ryan Longman,20(7),1787,1.5,0.6,0.7,0.1,1.7,0.8,0.3,-,6.75
Ethan Galbraith,30(3),2635,1.4,1,0.8,0.1,1.4,0.6,0.1,-,6.75
Massimo Luongo,7(2),567,2.6,1.1,2.2,-,1.9,1,0.2,-,6.75
Liam Lindsay,11(7),1055,0.8,0.9,1.2,0.3,6.4,0.2,0.8,-,6.75
George Tanner,23(5),2146,2,0.8,0.3,0.3,4.8,0.8,0.7,-,6.75
James Abankwah,19(1),1649,1.5,0.8,1.2,0.6,5.8,0.4,0.4,-,6.75
Christ Makosso,4,360,1.5,1,0.5,0.5,4.8,0.5,0.5,-,6.75
Connor Ogilvie,21,1733,1,1,0.8,0.2,3.4,0.1,0.4,-,6.74
Collins Sichenje,1,90,3,-,4,-,5,-,3,-,6.74
Barry Bannan,28,2457,1.1,1.2,0.5,-,0.9,0.8,0.4,-,6.74
Brodie Spencer,16(2),1432,2.8,1.2,1.1,0.5,3,0.7,0.5,-,6.74
Zak Swanson,22(5),1784,1.9,1,0.7,0.1,2.4,0.5,0.2,-,6.74
Alfie Jones,22,1886,1.6,0.9,0.8,0.4,4.2,0.4,0.8,-,6.74
Callum O'Hare,30(3),2580,1.5,0.5,0.7,-,0.7,0.8,-,-,6.74
Mihailo Ivanovic,27(4),2358,0.3,0.2,1,-,1.1,0.2,0.1,-,6.73
Christian Walton,21(1),1956,-,-,-,-,0.9,-,-,-,6.73
Lewie Coyle,25(2),2202,1.1,0.7,1,0.2,3,0.4,0.4,-,6.73
Bristol City,28,2520,-,-,-,-,1.4,-,-,1,6.73
Liam Millar,10(9),964,1.4,0.4,0.3,-,0.7,1.2,-,-,6.73
Adam Randell,33,2804,1.3,1,0.5,-,1.5,0.5,0.6,-,6.73
Marcelino Núñez,1(1),71,0.5,0.5,0.5,-,0.5,-,0.5,-,6.73
Paik Seung-Ho,30(1),2562,1.5,0.7,1.1,-,1.3,0.7,0.2,-,6.73
George Dobson,21(9),2064,2.5,0.7,0.8,-,1.5,0.7,0.4,-,6.73
Liam Morrison,12,1040,0.7,1.5,0.8,0.7,6.8,0.4,0.8,-,6.73
Ricardo Pereira,21(5),1971,2.4,1.2,1.1,0.2,3.6,0.6,0.4,-,6.73
James Bree,5,439,1.8,0.4,1.4,-,3.2,0.2,0.2,-,6.73
Callum Styles,28(4),2501,2.2,1.3,1.1,0.3,2.5,0.8,0.2,-,6.72
Bosun Lawal,21(2),1763,1.5,0.6,0.8,0.4,2.8,0.3,0.5,-,6.72
Gavin Bazunu,1,90,-,-,-,-,1,-,-,-,6.72
Jovon Makama,18(10),1613,0.6,0.1,1.3,-,0.3,0.3,0.1,-,6.72
Ryan Alebiosu,24(2),2092,1.8,0.7,0.6,0.2,2.3,0.5,0.2,-,6.72
Ben Chrisene,13(4),1108,1.6,0.3,0.6,0.2,1.8,0.6,0.3,-,6.72
Pierce Charles,9,810,-,-,-,-,0.7,-,-,-,6.72
Yuki Ohashi,28(5),2460,1,0.4,1.3,0.1,1.1,0.6,0.1,-,6.72
Tomi Horvat,3,198,1,1,1.3,-,-,1,-,-,6.72
Daniel Iversen,26,2340,-,-,-,-,1.2,-,-,-,6.72
Anis Mehmeti,3(1),257,1.8,-,1.8,-,0.3,0.5,0.3,-,6.71
George Campbell,20(6),1930,2,0.5,0.8,0.3,3.5,0.5,0.3,-,6.71
Dion Sanderson,26(2),2313,1,1.4,1,0.3,5.5,0.2,0.6,-,6.71
Regan Slater,27(5),2465,1.4,1,0.6,-,1.7,0.6,0.4,-,6.71
Jhon Solís,4(2),389,1.7,0.3,0.8,-,1.3,0.7,0.7,-,6.71
Caspar Jander,25(3),2103,2.8,0.9,1.2,-,1.1,1.2,0.4,-,6.71
Ali McCann,17(6),1532,2.9,1.1,1.3,-,1.2,1.7,0.3,-,6.71
Craig Forsyth,10(1),895,1.5,1.5,0.4,0.4,4.3,0.5,0.2,-,6.71
Tomoki Iwata,31(1),2759,1.8,0.8,1.4,0.1,1.9,0.4,0.3,-,6.71
Marko Stamenic,21(4),1809,1.5,1.4,1.6,0.1,1.8,0.5,0.2,-,6.7
Dominic Iorfa,24,1952,1.8,0.8,0.9,0.5,6.8,0.3,0.6,-,6.7
Luke Thomas,26(4),2380,1.5,1.1,1.3,0.2,4.1,0.7,0.3,-,6.7
Carlos Vicente,2(2),196,1,0.5,0.5,-,0.5,0.5,-,-,6.7
Carl Rushworth,33,2970,-,-,-,-,0.7,0.1,-,-,6.7
Yu Hirakawa,2(3),244,2.4,0.4,0.6,-,1,1.8,0.2,-,6.7
Ross Stewart,7(9),631,0.5,0.2,0.4,-,0.6,0.3,-,-,6.7
Joe Lumley,2,180,-,-,-,-,1.5,-,-,-,6.7
Max Crocombe,23,2070,0.1,-,-,-,1,-,-,-,6.69
Jamie McDonnell,5(1),393,3.2,1.3,1.2,-,1.3,0.5,0.3,-,6.69
Conor Coady,5,376,0.8,1.4,-,-,2.2,-,1,-,6.69
James Justin,2,155,0.5,0.5,0.5,-,3.5,-,0.5,-,6.69
Casper De Norre,18(2),1524,2,1.2,0.8,-,1.8,0.9,0.1,-,6.69
Ben Nelson,17,1434,1.5,1.2,0.2,0.8,7.4,0.3,0.9,-,6.69
Semi Ajayi,9(3),867,1.3,1.2,0.3,0.4,4.2,0.2,0.6,-,6.69
Chris Mepham,21(4),1935,1,1,0.7,0.3,6.5,0.3,0.4,-,6.69
Oscar Schwartau,21(9),1859,1.7,0.5,0.5,-,0.6,0.9,-,-,6.69
Luke Woolfenden,7(5),705,0.7,0.8,0.4,0.7,4.1,0.2,1,-,6.69
Papa Diallo,6(3),540,1.1,0.6,0.3,-,0.8,-,-,-,6.68
Rumarn Burrell,21(5),1847,0.3,0.2,1,-,0.5,0.2,-,-,6.68
James Beadle,23,2070,-,-,-,-,1.3,-,-,-,6.68
Josh Windass,19(9),1581,0.3,0.1,0.4,-,0.5,0.4,-,-,6.68
Nathan Broadhead,14(12),1365,0.5,0.2,0.3,-,0.4,0.2,0.1,-,6.68
Ryan Giles,26(1),2169,0.9,0.4,0.6,0.2,2.8,0.4,0.3,-,6.68
Luca Kjerrumgaard,25(6),2076,0.3,0.1,0.8,0.1,1.1,0.2,-,-,6.68
Miles Leaburn,17(12),1720,0.6,0.2,1.1,-,1.4,0.3,-,-,6.68
Amadou Mbengue,25(4),2243,1.7,0.8,1.3,0.3,3.4,0.7,0.6,1,6.68
