Player,Apps,Mins,Assists,KeyP,AvgP,PS%,Crosses,LongB,ThrB,Rating
Mohamed Touré,2(1),170,1,0.7,8.3,76,-,-,-,7.78
Divine Mukasa,2(1),167,2,3.3,29.7,76.4,0.7,1.3,-,7.67
Eiran Cashin,7,630,1,0.4,50.9,69.9,0.3,2.4,-,7.58
Jonathan Panzo,1,90,-,-,38,94.7,-,3,-,7.53
Bilal El Khannouss,2,136,2,3,39,82.1,1.5,1,-,7.52
Ebou Adams,7(1),658,1,0.6,28.6,77.7,-,1.3,-,7.34
Lloyd Jones,33,2920,-,0.3,37.2,75.2,-,1.8,-,7.3
Femi Azeez,20(2),1685,4,1.8,17.5,61.4,1.9,0.5,-,7.26
Kai Wagner,8,701,1,2.3,47.8,73.8,3,2.8,0.1,7.26
Lyndon Dykes,7(1),667,3,0.9,18.5,50.7,0.1,-,-,7.24
Imrân Louza,29,2510,7,2.1,61.6,87.2,1.6,3.4,0.1,7.22
Caleb Taylor,18(4),1703,2,0.2,31.9,78.1,-,1.8,-,7.21
Léo Scienza,23(4),1795,7,1.7,23.9,81.1,1.3,0.6,0.1,7.21
Christoph Klarer,30,2700,-,0.2,68.1,86.8,-,2.4,-,7.2
Oliver McBurnie,19(4),1723,5,1.1,15.9,66.1,-,0.4,-,7.19
Torbjørn Heggem,1,90,-,-,36,94.4,-,-,-,7.19
Carlton Morris,16(2),1379,-,0.7,21.2,68.1,0.1,0.6,-,7.19
Adilson Malanda,8,715,-,0.6,64.8,87.6,0.1,2.3,0.1,7.19
Bobby Thomas,26,2302,4,0.8,52.1,80.1,-,2.4,-,7.18
Charlie Hughes,28(1),2565,1,0.3,47.8,84.5,-,4,-,7.17
Finn Azaz,1(1),93,1,1,15.5,61.3,-,-,0.5,7.17
Rob Atkinson,22(2),1807,1,0.5,36.5,82.5,-,1,-,7.16
Anis Ben Slimane,7(2),580,1,1.1,25.9,76,-,0.7,0.1,7.16
Jimmy Dunne,31,2762,3,0.5,42.8,77.8,0.3,2.7,-,7.15
Tristan Crama,33,2937,2,0.8,33.6,70,0.7,1.7,-,7.14
Frank Onyeka,2,161,-,0.5,28.5,71.9,-,0.5,-,7.14
Kieffer Moore,27(3),2341,3,0.8,20.1,54.7,0.1,0.6,-,7.13
Ciaron Brown,24,2151,1,0.4,35.7,76,-,1.6,-,7.13
Jannik Vestergaard,24,2133,-,0.1,61.5,87.6,-,2.8,-,7.13
Taylor Harwood-Bellis,28,2520,1,0.7,70.1,84.5,0.1,4.7,0.1,7.13
Victor Torp,22(5),1926,4,1.6,29.5,83.2,0.8,0.9,-,7.12
Joe Gelhardt,22(3),1864,3,0.9,21.5,73,0.6,0.8,0.1,7.12
Jake Cooper,32,2880,1,0.6,46,74.8,0.2,3.8,-,7.11
Sean McLoughlin,31,2741,-,0.2,45.2,76.5,0.1,2.8,-,7.1
Sam McCallum,15(5),1210,1,1.4,25.6,66.8,1.3,2.1,0.1,7.1
Liam Kitching,29,2573,-,0.5,52.3,83.4,0.1,2.7,-,7.1
Jordan Storey,32,2818,2,0.2,36.3,73.1,-,1.6,-,7.09
Anis Mehmeti,28,2348,6,1.7,22.7,76.4,0.9,0.9,0.1,7.09
Abdul Fatawu,32,2715,7,1.1,23.6,70,0.8,1,0.1,7.09
Rob Dickie,29(1),2581,-,0.3,51.5,85,-,2.1,-,7.08
Hayden Hackney,33,2892,5,2.1,63.6,86.3,0.9,1.9,0.1,7.08
Josh Vickers,3,270,-,-,30.3,61.5,-,8,-,7.06
Brandon Thomas-Asante,16(5),1369,4,0.8,12.5,70.7,0.1,0.2,-,7.06
Cameron Burgess,33,2970,-,0.3,68.3,81.5,-,4.2,-,7.05
Stephen Mfuni,4,316,-,0.3,34.8,83.5,-,1.5,-,7.04
Callum Elder,25(2),2149,5,1.4,28.1,66.9,1.8,1.4,-,7.04
Matt Clarke,32,2875,2,0.3,43.4,78.1,0.1,3.3,-,7.03
Matt Grimes,33,2959,2,1.9,69.4,86.9,2,3.3,0.1,7.03
Jeremy Ngakia,26(2),2297,4,0.9,39,76.1,0.6,2.1,-,7.03
Jacob Greaves,12(1),1002,-,0.6,48.1,86.6,0.1,1.5,-,7.01
Conor Shaughnessy,8(1),680,-,0.1,42,81.2,0.1,1.9,-,7
Benjamin Whiteman,32,2832,4,1.6,46.5,76.6,1.3,3.3,0.1,7
Ross McCrorie,25(4),2105,6,0.9,22.4,70.2,0.6,0.4,-,7
Todd Cantwell,18(2),1661,3,1.5,46.9,81.8,1.7,2.5,0.1,6.99
Michal Helik,30(1),2659,2,0.4,31.8,76.2,-,1.5,-,6.99
Nicolas Madsen,31(2),2764,6,1.6,41.1,80.7,1.1,2.2,0.1,6.98
Viktor Johansson,24,2160,1,0.1,36.8,70,-,7.6,-,6.97
Dael Fry,12(6),1109,-,0.3,34.8,90.4,-,1.5,-,6.97
Tayo Adaramola,3,248,1,0.7,16,58.3,0.3,-,-,6.97
Ilias Chair,9(2),808,2,2.3,34.4,81.5,1.6,2.4,0.1,6.97
Callum Brittain,28,2452,4,1.1,49.8,81.2,0.9,1.7,-,6.97
Ali Ahmed,6(1),451,2,1,20.6,76.4,0.3,1,0.4,6.96
Ryan Manning,23(7),2171,2,1.7,40.5,78.1,1.6,1.7,-,6.96
Matt Crooks,18(2),1641,3,1.1,35.7,83.3,0.1,2.2,-,6.96
Jaden Philogene,19(6),1551,2,0.9,17.7,83.3,0.5,0.8,-,6.96
Nathaniel Phillips,31,2658,-,0.2,54.2,85,-,3.2,-,6.96
Joe Ward,20(5),1805,6,1.4,25.6,78.6,1.6,2,-,6.95
Sondre Langås,18(1),1658,1,0.4,31.2,79.3,0.1,1.1,-,6.95
Lewis Baker,11(1),998,1,1.1,34.7,85.8,0.3,1.5,0.1,6.95
Japhet Tanganga,27,2387,-,0.3,43.9,84.1,-,2.4,-,6.95
Ben Cabango,32,2865,-,0.3,62.6,84.4,-,3.1,0.1,6.94
Othmane Maamma,18(2),1360,1,1.2,19.7,73.8,0.6,0.9,-,6.94
Brian De Keersmaecker,25(1),2248,5,1.4,34.1,83.2,1.2,2,0.1,6.94
Cédric Kipré,22,1946,1,0.5,59.9,86.9,-,2.9,0.1,6.94
Morgan Whittaker,29(3),2292,5,1.2,25.8,78.3,0.4,1.1,-,6.93
Ephron Mason-Clark,25(4),2086,3,1.6,16.9,75.9,0.3,0.3,-,6.93
Haji Wright,23(6),1958,1,0.5,9.6,71.6,-,0.2,-,6.92
Hayden Carter,5,398,-,0.4,30.6,70.6,-,2.2,-,6.91
Scott Wharton,7(2),672,-,0.2,33,76.4,0.1,1.3,-,6.91
Milan van Ewijk,31,2728,7,1,34.3,80.6,0.4,1.1,0.1,6.91
Murphy Cooper,7,630,-,-,40.9,55.6,-,4.9,-,6.9
Ben Gibson,2(2),249,-,0.3,32,70.3,-,1.3,-,6.9
Femi Seriki,20(7),1859,4,1,28.8,79.8,0.6,1,-,6.9
Dara O'Shea,31,2790,1,0.3,67.4,84.3,-,4.6,-,6.9
Mattie Pollock,22(2),1974,1,0.1,50.8,84.2,-,3.4,-,6.89
Josh Tymon,31(1),2821,7,1.9,41.8,81.7,1.6,1.3,-,6.89
Ruairi McConville,19(1),1719,1,0.2,50.8,86,-,2.7,-,6.89
Ben Mee,14(1),1249,1,0.2,39.9,78.3,0.2,2.3,-,6.88
Kenny McLean,29(1),2541,3,1.4,57.2,79.9,1.3,3.7,0.2,6.88
Tyler Bindon,15(1),1342,-,0.1,48.9,86.3,-,2.3,-,6.88
Lewis Gibson,19,1654,-,0.3,46.4,81.7,-,2.2,0.1,6.88
James Bree,19(2),1676,3,1.7,22.6,70.7,1.7,0.4,-,6.88
Matt Targett,28(2),2417,3,1.2,51.9,83.4,0.7,2.5,0.1,6.88
Marcelino Núñez,15(9),1433,7,2,24.8,82.3,1.3,1.3,0.1,6.87
Jayden Fevrier,0(2),70,-,0.5,10,70,1.5,-,-,6.87
Luke Ayling,26(4),2400,4,0.5,59.8,86.2,0.2,3.8,0.1,6.87
Neto Borges,19(7),1693,3,1.2,25.7,80.7,0.7,0.7,-,6.87
Phil Neumann,26,2277,-,0.2,49.3,85.3,0.1,2,-,6.87
Jordan James,23(1),1763,3,1.9,26.5,82,1.5,0.7,-,6.86
Scott Twine,30(2),2379,6,1.8,22.4,73.9,0.8,0.7,0.2,6.86
Tatsuhiro Sakamoto,22(5),1946,3,1.2,17,77.8,0.6,0.4,0.1,6.86
Jack Currie,19(5),1707,1,1,23.7,74.6,0.2,1,-,6.86
Max Cleworth,31,2790,4,0.5,48.8,79.4,0.2,2.6,-,6.86
Alfie Doughty,16(5),1328,5,2.1,28,73,2.6,3.3,0.1,6.86
Leif Davis,28(1),2509,2,1.6,36.7,78.6,1.4,1.3,-,6.86
Josh Edwards,7,553,-,1,23.4,61.6,1.3,0.6,-,6.86
Gustavo Caballero,2(1),160,-,1.3,10.3,80.6,0.3,-,-,6.86
Ibrahim Osman,4(1),339,-,0.4,18.8,73.4,-,0.4,-,6.86
Sydie Peck,25(2),2275,2,0.8,44.6,77.8,0.6,1.7,0.1,6.86
Dominic Hyam,4,360,-,-,46.8,78.6,-,5.5,-,6.86
Azor Matusiwa,30,2620,1,0.7,46.9,86.9,-,1.7,-,6.85
Zan Vipotnik,24(7),2072,2,0.6,11.2,71,-,0.4,-,6.85
Andrew Hughes,25(1),2219,-,0.4,41,71.5,0.2,2,-,6.85
Shea Charles,13(5),1266,1,0.9,40.4,83.4,0.3,1.6,0.2,6.85
David Cornell,4,360,-,-,34,48.5,-,4,-,6.85
Josh Sargent,23,1953,3,0.9,13.5,71.4,-,0.3,-,6.85
Sorba Thomas,33,2896,6,1.9,24.3,71,1.3,1.1,-,6.85
Terry Devlin,18(9),1646,1,0.6,25.8,71,0.5,1.1,-,6.85
Daniel Grimshaw,1,90,1,1,33,42.4,-,3,-,6.85
Lewis Miller,23(6),2154,2,0.3,30.8,72.2,0.2,1.3,-,6.85
Regan Poole,29,2610,-,0.3,45.3,82.5,0.1,2.7,-,6.85
Finn Azaz,25(4),2029,4,1.4,27.7,76.1,0.1,1.1,0.3,6.85
Maksym Talovierov,9(2),827,-,0.3,38.3,79.3,-,1.8,0.1,6.84
Ben Killip,1(1),154,-,-,38.5,59.7,-,8.5,-,6.83
Demarai Gray,22(3),1740,4,0.9,19.4,80,0.7,0.6,-,6.83
Jack Clarke,15(16),1554,1,1.2,17.6,77.1,0.4,0.6,0.1,6.83
Dominic Hyam,28,2512,-,0.1,45.5,81.7,-,3.3,-,6.83
Mikey Johnston,25(7),2201,9,1.7,24.5,84.1,1.5,0.7,-,6.83
Darnell Furlong,25,2207,2,0.6,43.7,75.9,0.2,2.1,-,6.82
Tommy Conway,32(1),2588,2,1.2,18.1,86.8,0.1,0.4,-,6.82
Patrick Agyemang,26(3),2194,3,0.8,13.2,71.5,0.1,0.2,-,6.82
Harry Amass,21,1868,1,0.6,34.4,78.9,0.4,0.9,-,6.82
Ben Wilmot,30(1),2703,-,0.2,66.1,87.3,-,4.8,-,6.82
Keenan Gough,1(1),91,-,-,15,63.3,-,1.5,-,6.82
Lawrence Vigouroux,33,2970,-,-,32.2,66.1,-,5.9,-,6.81
Lewis O'Brien,20(6),1817,4,1.3,27.1,80.3,0.5,0.6,0.1,6.81
Patrick Bamford,11(5),895,-,0.4,8.6,63.8,-,0.3,-,6.81
Ryan Hedges,18(4),1542,2,1.2,27.1,73.2,0.8,0.7,-,6.81
Jack Rudoni,19(4),1649,5,1.1,30.4,85,0.5,0.5,0.1,6.81
Callum Doyle,19(2),1706,-,0.5,51.4,75.1,0.1,3.3,-,6.81
Ashley Phillips,24(4),2265,1,0.2,46.2,85.9,-,2,-,6.81
George Thomason,16(5),1402,4,1,28.7,83.4,0.6,0.9,-,6.81
José Córdoba,13(3),1254,1,0.2,52.8,82.6,0.1,2.8,-,6.81
Marc Bola,26(2),2341,3,0.9,36.9,78,0.6,1.1,0.1,6.8
Gonçalo Franco,28(4),2376,4,0.9,33.1,81.2,0.1,0.6,-,6.8
Riley McGree,9(6),736,3,0.8,24.9,86.9,0.3,0.1,0.1,6.8
Gustavo Hamer,18(8),1668,9,1.6,30.2,76.4,1.2,1.9,0.1,6.8
Danny Ward,4,360,-,0.3,28.3,47.8,-,8,-,6.8
Junior Tchamadeu,19(1),1723,1,1,36.7,74.6,0.8,1.7,0.1,6.79
Adam Armstrong,24(5),2041,4,0.8,12.6,78.6,0.1,0.1,0.1,6.79
Sondre Tronstad,27(1),2342,2,0.6,48.9,86.5,-,3,-,6.79
Patrick Roberts,23(5),1876,4,1.4,24.5,80.1,0.4,0.6,0.3,6.79
Andre Brooks,20(9),1737,2,0.8,17.3,74.2,0.2,0.6,0.1,6.78
Steve Cook,21(6),1987,-,0.1,35.1,82.4,0.1,4.1,-,6.78
Richard Kone,27(4),2379,2,0.9,18.5,70.5,-,0.6,-,6.78
Aidan Morris,24(3),2034,2,1.1,58.7,91.7,-,2.4,0.1,6.78
Jack Robinson,2(1),213,-,0.7,39,88.9,-,3.3,-,6.78
Jack Stephens,21(1),1896,-,0.3,56.6,90.4,-,2.5,-,6.78
Max Alleyne,14(2),1266,-,0.1,44.5,81.5,0.1,2.4,-,6.78
Millenic Alli,8,697,1,0.9,18.6,70.5,0.1,0.1,-,6.78
Romain Esse,4(3),378,-,0.4,15.1,72.6,0.7,0.6,-,6.77
Pelle Mattsson,21(1),1872,-,0.8,43.9,78.5,-,2.1,-,6.77
Alex Cochrane,18(1),1531,4,0.9,43.9,78.9,1.2,1.7,-,6.77
Caleb Okoli,19(2),1629,1,0.3,47.7,83.3,-,1.4,-,6.77
Alfie Devine,26(6),2212,2,1,27.4,77.8,0.8,1.5,-,6.77
John Egan,27(2),2357,-,0.2,38.8,81.3,-,2.5,-,6.77
Mark McGuinness,15(4),1314,-,0.1,31.6,83.3,-,1.5,-,6.76
Mohamed Belloumi,5(7),519,3,1,12.5,68,0.3,0.4,-,6.76
Issa Kaboré,16(1),1353,4,0.8,21.8,80.3,0.9,0.4,-,6.76
Jay Dasilva,29(1),2506,1,1.2,43.9,87.1,0.5,1.1,-,6.76
Ethan Laird,4(4),384,1,0.5,27.9,84.8,-,0.5,-,6.76
Joel Latibeaudiere,7,630,-,-,49,84,-,2,-,6.76
Sonny Carey,29(4),2410,1,1,19.5,77.3,0.8,1.1,-,6.76
Ryan Longman,20(7),1787,1,0.7,19.9,74.5,1,0.6,-,6.75
Ethan Galbraith,30(3),2635,1,0.8,53.3,80.9,0.5,3.1,0.2,6.75
Massimo Luongo,7(2),567,-,0.7,30.3,73.3,0.1,1.3,-,6.75
Liam Lindsay,11(7),1055,-,0.1,22.8,75.9,-,1.1,-,6.75
George Tanner,23(5),2146,-,0.3,40.3,83.4,-,1.4,-,6.75
James Abankwah,19(1),1649,-,0.4,41,81.2,0.1,1.7,-,6.75
Christ Makosso,4,360,-,0.8,21,61.9,-,0.8,-,6.75
Connor Ogilvie,21,1733,-,0.4,33.1,72.3,0.2,1.6,-,6.74
Collins Sichenje,1,90,-,-,20,70,-,3,-,6.74
Barry Bannan,28,2457,3,1.9,60.3,80.5,1.6,4,0.1,6.74
Brodie Spencer,16(2),1432,-,0.1,26.3,64.6,-,1.3,-,6.74
Zak Swanson,22(5),1784,-,0.5,26.4,78.4,0.2,2.2,-,6.74
Alfie Jones,22,1886,1,0.1,53.8,90.2,-,1.9,-,6.74
Callum O'Hare,30(3),2580,5,1.2,28,78.3,0.2,0.4,0.1,6.74
Mihailo Ivanovic,27(4),2358,1,0.7,14.7,50.7,-,0.2,-,6.73
Christian Walton,21(1),1956,-,-,30.5,76.6,-,3.4,-,6.73
Lewie Coyle,25(2),2202,4,0.9,33.2,73.4,1,1.6,-,6.73
Bristol City,28,2520,-,-,28.2,58.9,-,4.3,-,6.73
Liam Millar,10(9),964,2,0.7,15.2,72.6,0.5,0.6,-,6.73
Adam Randell,33,2804,1,0.7,40.8,80.6,0.1,1.7,0.1,6.73
Marcelino Núñez,1(1),71,1,0.5,19.5,76.9,0.5,1.5,0.5,6.73
Paik Seung-Ho,30(1),2562,-,0.8,40,85.8,0.2,1.7,-,6.73
George Dobson,21(9),2064,1,0.7,34.8,81.8,0.3,2.8,-,6.73
Liam Morrison,12,1040,1,0.3,40.9,87.4,-,2.2,-,6.73
Ricardo Pereira,21(5),1971,1,0.8,45.2,80.4,-,1.2,0.1,6.73
James Bree,5,439,1,0.4,43.6,76.1,1,1.8,-,6.73
Callum Styles,28(4),2501,2,0.8,38.8,82.7,0.5,1.3,-,6.72
Bosun Lawal,21(2),1763,-,0.3,38.6,83.9,0.1,2.7,-,6.72
Gavin Bazunu,1,90,-,-,34,70.6,-,4,-,6.72
Jovon Makama,18(10),1613,-,0.5,11.1,67.7,0.1,0.2,-,6.72
Ryan Alebiosu,24(2),2092,2,1,23.7,79.4,1,1,-,6.72
Ben Chrisene,13(4),1108,1,0.4,29.5,74.9,0.3,0.9,-,6.72
Pierce Charles,9,810,1,0.1,47.6,59.6,-,8.1,0.1,6.72
Yuki Ohashi,28(5),2460,1,0.6,16.5,68.6,0.1,0.4,-,6.72
Tomi Horvat,3,198,2,0.7,26,75.6,0.3,-,-,6.72
Daniel Iversen,26,2340,1,0.1,34.3,55.7,-,6.6,-,6.72
Anis Mehmeti,3(1),257,-,1.3,22.8,79.1,0.3,0.8,-,6.71
George Campbell,20(6),1930,2,0.6,44,85.2,0.3,1.5,-,6.71
Dion Sanderson,26(2),2313,-,0.1,32.8,87.9,-,1.5,-,6.71
Regan Slater,27(5),2465,2,0.7,26.3,79.5,0.3,1.4,-,6.71
Jhon Solís,4(2),389,-,-,33.2,84.9,-,1.8,-,6.71
Caspar Jander,25(3),2103,-,0.8,37.7,89.8,-,1,-,6.71
Ali McCann,17(6),1532,1,0.7,25,82.9,0.1,0.6,-,6.71
Craig Forsyth,10(1),895,-,0.4,33.7,70.1,0.4,2.2,-,6.71
Tomoki Iwata,31(1),2759,1,1.1,44.5,81.3,0.8,2,-,6.71
Marko Stamenic,21(4),1809,2,0.3,40.1,84.7,-,1.6,-,6.7
Dominic Iorfa,24,1952,-,0.2,35.5,83.8,-,1.3,-,6.7
Luke Thomas,26(4),2380,4,1.2,34.9,81.3,0.8,0.9,-,6.7
Carlos Vicente,2(2),196,1,1.3,14.3,73.7,0.8,0.3,-,6.7
Carl Rushworth,33,2970,1,0.2,37.5,61,-,7.3,-,6.7
Yu Hirakawa,2(3),244,1,1,10.6,66,1.2,0.8,-,6.7
Ross Stewart,7(9),631,2,0.5,10,68.8,-,0.1,-,6.7
Joe Lumley,2,180,-,-,36,61.1,-,7,-,6.7
Max Crocombe,23,2070,-,-,28.5,40.9,-,6.3,-,6.69
Jamie McDonnell,5(1),393,-,0.2,16.2,54.6,-,1,-,6.69
Conor Coady,5,376,-,0.4,27.2,77.9,0.2,1,-,6.69
James Justin,2,155,-,1.5,36.5,79.5,-,-,-,6.69
Casper De Norre,18(2),1524,2,0.7,32.4,81.6,0.2,2,0.1,6.69
Ben Nelson,17,1434,-,0.1,39.6,80,-,2.1,-,6.69
Semi Ajayi,9(3),867,-,-,31.9,74.9,-,1.7,-,6.69
Chris Mepham,21(4),1935,-,0.2,51.2,87.6,-,2.8,-,6.69
Oscar Schwartau,21(9),1859,1,0.8,18.3,79.6,0.3,0.5,0.1,6.69
Luke Woolfenden,7(5),705,-,0.4,28.9,87.9,-,1,-,6.69
Papa Diallo,6(3),540,2,1.1,17.1,77.3,0.3,0.7,-,6.68
Rumarn Burrell,21(5),1847,3,0.8,10.3,62.3,-,0.2,-,6.68
James Beadle,23,2070,-,-,37.2,57.8,-,4,-,6.68
Josh Windass,19(9),1581,5,1,21.6,81.4,0.3,0.9,0.1,6.68
Nathan Broadhead,14(12),1365,4,0.9,21.2,82.8,0.2,0.4,0.2,6.68
Ryan Giles,26(1),2169,8,1.3,23.1,77.2,1.7,1.4,-,6.68
Luca Kjerrumgaard,25(6),2076,1,0.6,11.3,67.6,-,0.2,-,6.68
Miles Leaburn,17(12),1720,1,0.6,14.3,48.8,0.2,0.1,-,6.68
Amadou Mbengue,25(4),2243,-,0.3,31.4,78.4,0.3,1.2,-,6.68
Jonathan Varane,20(4),1618,2,0.3,30.7,78.3,-,1.8,0.1,6.68
Ryan Leonard,11(8),1097,1,0.5,22.2,60.4,0.2,1.6,-,6.67
